Label,URL,brand,name,price,ingredients
laver,https://labelleboucle.fr/collections/laver/products/shampoing-sec-vegan-volume-powder,CUT BY FRED,Shampoing Sec Vegan Volume Powder,"26,00€",No Info
laver,https://labelleboucle.fr/collections/laver/products/shampoing-fortifiant-jojoba,DESERT ESSENCE,Shampoing Fortifiant Jojoba,"11,50€","Water (Aqua), Sodium Coco-Sulfate (Coconut Derived), Coco-Glucoside (Coconut Derived), Keratin, Hydrolyzed keratin, Opuntia Vulgaris Extract (Nopal Cactus), Simmondsia Chinensis (Jojoba) Seed Oil, Hydrolyzed Wheat Protein, Hydrolyzed Wheat Starch, Aloe Barbadensis Leaf Juice, Yucca Schidigera Extract (Yucca Cactus), Hydrolyzed Jojoba Esters, Sodium Chloride, Glycerin (Plant derived), Glyceryl Oléate (Plant Derived), Glyceryl Caprylate (Plant derived), Citric Acid, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Natural Fragrance (Parfum), Limonene, Geraniol.

Contenance : 375 ml."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-traitant-etre-de-meche,PROPOLIA,Shampoing Traitant Être de Mèche,"13,90€","Aqua (Eau), Sodium Cocoamphoacetate, Glycerin, Lauryl Glucoside, Anthemis Nobilis Flower Water (Eau florale de Camomille)*, Decyl Glucoside, Alcohol**, Sodium Cocoyl Glutamate, Sodium Lauryl Glucose Carboxylate, Citric Acid, Coco Glucoside, Glyceryl Oleate, Mel (Miel)*, Kaolin, Propolis Cera (Propolis pure)*, Juniperus Oxycedrus Wood Oil (Huile essentielle de Cade)*, Olea Europaea Leaf Extract (Extrait de feuille d’Olivier)*, Citrus aurantium bergamia peel oil (Huile essentielle de Bergamote)*, Cedrus Atlantica Bark Oil (Huile essentielle de Cèdre)*, Mentha Piperita Oil (Huile essentielle de Menthe poivrée)*, Lavandula Angustifolia Oil (Huile essentielle de Lavande)*, Ocimum Basilicum Oil (Huile essentielle de Basilic)*, Salvia Officinalis Oil (Huile essentielle de Sauge)*, Rosmarinus Officinalis Leaf Oil (Huile essentielle de Romarin)*, Cocamidopropyl Betaine, Caprylyl/Capryl Glucoside, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid, Benzyl Alcohol, Limonene, Linalool.

* Ingrédients issus de l’Agriculture Biologique.
** Ingrédients transformés à partir d’ingrédients biologiques.
99 % du total des ingrédients sont d’origine naturelle.

Contenance : 200 ml."
laver,https://labelleboucle.fr/collections/laver/products/gommage-cuir-chevelu,BELLE & BIO,Gommage Cuir Chevelu,"12,00€","Aqua, Sodium Chloride, Oryza Sativa Powder*, Glycerin, Papaver Somniferum Seed*, Mentha Piperita Flower/Leaf/Stem Water*, Salvia Officinalis Leaf Water, Caprylyl/Capryl Glucoside, Parfum, Polyglyceryl-4 Oleate, Carrageenan, Xanthan Gum, Aloe Barbadensis Extract*, Acanthopanax Senticosus Root Extract*, Nasturtium Officinale Extract, Tropaeolum Majus Extract, Sodium Benzoate, Benzyl Alcohol, Glucose, Limonene, Linalool, Ethyl Lauroyl Arginate HCL, Citral, Cinnamic Acid, Geraniol, Dehydroacetic Acid, Citronellol, Tocopherol, Sorbic Acid.

* Ingrédients issus de l'Agriculture Biologique.
** Ingrédients transformés à partir d'ingrédients biologiques.
99 % du total est d'orgine naturelle.
53,5 % du total des ingrédients sont issus de l'Agriculture Biologique.
COSMOS ORGANIC certifié par Ecocert Greenlife selon le référentiel COSMOS."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-nourrissant-noix-de-coco,URTEKRAM,Shampoing Nourrissant Noix de Coco,"7,00€","Aqua, Cocos Nucifera Saccharum Extract*, Sodium Coco­ Sulfate, Coco­glucoside, Aloe Barbadensis Extract*, Lauryl Glucoside, Parfum, Citrus Aurantium Dulcis Peel Oil*, Laminara Digitata Extract*, Glyceryl Oleate, Sodium Chloride, Polyglyceryl­4 Caprate, Xanthan Gum, Bellis Perennis Flower Extract, Magnolia Officinalis Bark Extract, Tocopherol, Beta­sitosterol, Squalene, Limonene.

* Ingrédients issus de l'Agriculture Biologique.
** Ingrédients issus d'origine natutelle.
Vegan.
Certifié ECOCERT.

Contenance : 250 ml."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-cuir-chevelu-irrite-tea-tree,URTEKRAM,Shampoing Cuir Chevelu Irrité Tea Tree,"7,00€",No Info
laver,https://labelleboucle.fr/collections/laver/products/shampoing-solide-sweetie-demelant-hydratant,PACHAMAMAI,Shampoing Solide Sweetie Démêlant Hydratant,"12,50€","Sodium Cocoyl Isethionate, Polyglyceryl-2 Stearate (and) Glyceryl Stearate (and) Stearyl Alcohol, Sodium Lauroyl Lactylate, Oryza Sativa Powder, Cocos Nucifera Oil, Citrus Aurantium Amara Oil, Limonene*, Linalol.

* Naturellement issus des huiles essentielles.
100 % vegan.
Formule certifiée Slow Cosmétique.

Poids : 65 g."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-doux-etre-de-meche,PROPOLIA,Shampoing Doux Être de Mèche,"11,50€","Aqua (Eau), Citrus Aurantium Amara Flower Water (Eau florale d’Orange amère)*, Glycerin, Sodium Cocoamphacetate, , Lauryl Glucoside, Sodium Cocoyl Glutamate, Sodium Lauryl Glucose Carboxylate, Citric Acid, Coco Glucoside, Glyceryl Oleate, Mel (Miel)*, Lavandula Angustifolia Flower Water (Eau florale de Lavande)*, Bambusa Vulgaris Stem Extract (Extrait de Moelle de Bambou)*, Citrus Paradisi Peel Oil (Huile essentielle de Pomelo)*, Lavandula Hybrida Oil (Huile essentielle de Lavandin)*, Saponaria Officinalis Root Extract (Extrait de Saponaire), Cocamidopropyl Betaine, Parfum, Alcohol, Sodium Benzoate, Potassium Sorbate, Dehydroacetic Acid, Benzyl alcohol, Limonene, Linalool.

* Ingrédients issus de l’Agriculture Biologique.
99 % du total des ingrédients sont d’origine naturelle.

Contenance : 200 ml."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-hydratant-bouleau,URTEKRAM,Shampoing Hydratant Bouleau,"7,00€","Aqua, Aloe Barbadensis Leaf Extract*, Sodium Coco-Sulfate, Glycerin**, Coco-Glucoside, Lauryl Glucoside, Glyceryl Oleate, Betula Alba Leaf Extract*, Juglans Regia Leaf Extract*, Sodium Chloride, Parfum, Polyglyceryl-4 Caprate, Xanthan Gum, Lysolecithin, Coco-Caprylate, Tocopherol, Beta-Sitosterol, Squalene, Citral, Limonene, Linalool.

* Ingrédients issus de l'Agriculture Biologique.
** Ingrédients issus d'origine natutelle.
Vegan.
Certifié ECOCERT.

Contenance : 250 ml."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-creme-cheveux-gras,CENTIFOLIA,Shampoing Crème Cheveux Gras,"7,95€","Aqua, Caprylyl/Capryl Glucoside, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, Bentonite, Disodium Cocoyl Glutamate, Inulin, Aloe Barbadensis Leaf Juice Powder*, Urtica Dioica Extract*, Argilla, Kaolin, Dicaprylyl Carbonate, Sodium Cocoyl Glutamate, Hydrolyzed Sweet Almond Protein, Acacia Senegal Gum, Xanthan Gum, Mica, Quartz, Montmorillonite, Sodium Chloride, Citric Acid, Sodium Benzoate, Dehydroacetic Acid, Lactic Acid, Potassium Sorbate, Parfum, Benzyl Alcohol, Linalool, Citronellol, CI 77288.

* Ingrédients issus de l’Agriculture Biologique.
99 % du total des ingrédients sont d’origine naturelle.
20 % du total des ingrédients sont issus de l’Agriculture Biologique.
97 % des ingrédients végétaux sont certifiés bio.
Cosmétique Ecologique et Biologique certifié par ECOCERT

Emballages recyclables et garantis sans phtalate ni
Bisphénol A.
Conçu et fabriqué en France."
